category,segment,sales,ad_spend,social_engagement,stock_level,satisfaction_score,aov,eco_index,roas,social_efficiency,inventory_status,strategic_recommendation
Electronics,46-60,209,918.2079052856934,368,65,3,31.050731072226824,1.1,0.23,0.4,HEALTHY,"BUDGET CUT: Marketing Underperforming"
Electronics,36-45,109,1884.8545122517926,869,47,3,178.14814406019275,0.9,0.06,0.46,LOW,"BUDGET CUT: Marketing Underperforming"
Home,18-25,103,946.8179470335809,655,28,4,107.6670903925599,1.1,0.11,0.69,LOW,"STABLE: Monitor KPIs"
Home,46-60,380,865.5010636718699,272,37,3,38.2972485685989,1.1,0.44,0.31,LOW,"BUDGET CUT: Marketing Underperforming"
Home,36-45,197,894.8036020115154,412,80,3,121.98516276131227,1,0.22,0.46,HEALTHY,"BUDGET CUT: Marketing Underperforming"
Home,60+,250,1097.098648784064,986,48,3,27.18412840464228,1,0.23,0.9,LOW,"STABLE: Monitor KPIs"
Beauty,26-35,337,1379.7415190168483,244,34,4,69.84018985787768,1,0.24,0.18,LOW,"BUDGET CUT: Marketing Underperforming"
Beauty,36-45,331,1120.7362696874454,674,41,2,126.28714886660669,0.9,0.3,0.6,LOW,"QUALITY CHECK: High Returns/Complaints"
Electronics,46-60,454,1117.1419653122086,675,30,1,104.73375258593254,0.9,0.41,0.6,LOW,"QUALITY CHECK: High Returns/Complaints"
Electronics,46-60,263,1292.5285275407082,134,24,3,121.52361224794655,1.1,0.2,0.1,LOW,"BUDGET CUT: Marketing Underperforming"
Home,36-45,406,651.7970708852363,831,98,4,106.3728607755891,0.9,0.62,1.27,HEALTHY,"STABLE: Monitor KPIs"
Sports,46-60,411,628.8983719929647,442,81,4,134.25986849918812,0.9,0.65,0.7,HEALTHY,"STABLE: Monitor KPIs"
Home,26-35,208,1043.4988620316283,711,26,2,73.4541570382566,1,0.2,0.68,LOW,"QUALITY CHECK: High Returns/Complaints"
Sports,36-45,378,653.1873441849255,309,95,1,108.03689210069558,0.9,0.58,0.47,HEALTHY,"BUDGET CUT: Marketing Underperforming"
Home,18-25,282,534.8074247384849,794,76,3,164.1766194393683,1.1,0.53,1.48,HEALTHY,"STABLE: Monitor KPIs"
Beauty,60+,226,774.0039657386842,214,32,4,117.50197837584432,0.9,0.29,0.28,LOW,"BUDGET CUT: Marketing Underperforming"
Sports,26-35,55,442.8198809926697,908,93,4,114.01319049026075,0.9,0.12,2.05,HEALTHY,"STABLE: Monitor KPIs"
Sports,46-60,262,749.5797603893016,500,87,4,98.17404176964878,1,0.35,0.67,HEALTHY,"STABLE: Monitor KPIs"
Fashion,46-60,99,1154.0489367215691,529,11,1,124.87160316544204,1,0.09,0.46,CRITICAL,"BUDGET CUT: Marketing Underperforming"
Electronics,46-60,199,1059.4822405816021,959,17,2,180.9918201705666,1.1,0.19,0.91,CRITICAL,"QUALITY CHECK: High Returns/Complaints"
Electronics,26-35,212,1013.4924284015983,110,94,5,70.35306461557482,1,0.21,0.11,HEALTHY,"BUDGET CUT: Marketing Underperforming"
Home,18-25,227,881.7709157686929,222,54,4,50.99097272608505,1,0.26,0.25,HEALTHY,"BUDGET CUT: Marketing Underperforming"
Sports,60+,130,1317.672510054201,565,69,3,27.937861905835923,1.1,0.1,0.43,HEALTHY,"BUDGET CUT: Marketing Underperforming"
Beauty,36-45,323,1006.4647696483822,377,93,1,157.4332055988616,0.9,0.32,0.37,HEALTHY,"BUDGET CUT: Marketing Underperforming"
Sports,26-35,133,1178.809671258603,280,67,3,63.66934027879252,0.9,0.11,0.24,HEALTHY,"BUDGET CUT: Marketing Underperforming"
Beauty,26-35,306,439.6613897801659,206,81,2,161.12945436529856,1.1,0.7,0.47,HEALTHY,"BUDGET CUT: Marketing Underperforming"
Electronics,46-60,280,1179.4005264762836,741,44,3,189.89775666191775,1,0.24,0.63,LOW,"STABLE: Monitor KPIs"
Electronics,46-60,323,784.1520480083267,339,99,4,119.90376459578479,1,0.41,0.43,HEALTHY,"BUDGET CUT: Marketing Underperforming"
Beauty,18-25,283,787.3119813788195,808,15,2,195.5872106530642,1,0.36,1.03,CRITICAL,"QUALITY CHECK: High Returns/Complaints"
Beauty,46-60,396,1238.8453132426864,350,84,1,139.4025424760731,1,0.32,0.28,HEALTHY,"BUDGET CUT: Marketing Underperforming"
Fashion,26-35,224,739.6926270689146,459,20,1,120.75393440287031,1,0.3,0.62,LOW,"QUALITY CHECK: High Returns/Complaints"
Electronics,18-25,211,1351.0948692168272,240,43,1,98.28265244536016,0.9,0.16,0.18,LOW,"BUDGET CUT: Marketing Underperforming"
Sports,46-60,157,890.4698420631108,869,62,5,73.447294612735,1,0.18,0.98,HEALTHY,"STABLE: Monitor KPIs"
Sports,18-25,110,1137.0579220888587,326,15,2,193.0656650788085,1,0.1,0.29,CRITICAL,"BUDGET CUT: Marketing Underperforming"
Fashion,36-45,363,1140.1460227873772,677,98,5,139.60756390530898,1.1,0.32,0.59,HEALTHY,"STABLE: Monitor KPIs"
Home,26-35,410,1130.465892176318,248,61,1,99.67386097689277,1,0.36,0.22,HEALTHY,"BUDGET CUT: Marketing Underperforming"
Electronics,60+,468,1489.1511562560206,431,68,3,103.29379415621662,1.1,0.31,0.29,HEALTHY,"BUDGET CUT: Marketing Underperforming"
Electronics,46-60,139,271.1196071520683,168,25,4,153.8029228241319,1,0.51,0.62,LOW,"STABLE: Monitor KPIs"
Fashion,36-45,121,1001.097759693496,447,72,3,149.68176393555174,1,0.12,0.45,HEALTHY,"BUDGET CUT: Marketing Underperforming"
Beauty,60+,499,1149.2902997081626,271,59,2,39.16799273594384,1,0.43,0.24,HEALTHY,"BUDGET CUT: Marketing Underperforming"
Sports,18-25,478,689.432636360702,991,71,2,140.57784374709723,1,0.69,1.44,HEALTHY,"QUALITY CHECK: High Returns/Complaints"
Fashion,46-60,197,613.1165632966743,610,80,5,156.02578829182102,1,0.32,0.99,HEALTHY,"STABLE: Monitor KPIs"
Electronics,26-35,159,930.2679062913767,307,35,1,80.58087298049134,0.9,0.17,0.33,LOW,"BUDGET CUT: Marketing Underperforming"
Home,18-25,127,1113.7467130898344,637,85,3,196.8800853917088,0.9,0.11,0.57,HEALTHY,"STABLE: Monitor KPIs"
Electronics,36-45,413,1169.9258792739492,332,57,1,193.80088163633167,0.9,0.35,0.28,HEALTHY,"BUDGET CUT: Marketing Underperforming"
Sports,36-45,251,1368.9816928501346,108,62,5,107.38642351096608,0.9,0.18,0.08,HEALTHY,"BUDGET CUT: Marketing Underperforming"
Beauty,60+,312,652.9993269861484,991,96,2,177.6657153414169,1,0.48,1.52,HEALTHY,"QUALITY CHECK: High Returns/Complaints"
Sports,46-60,223,453.4778340376172,231,36,2,163.9348584834412,1.1,0.49,0.51,LOW,"QUALITY CHECK: High Returns/Complaints"
Beauty,36-45,134,982.1983381470877,325,17,4,138.05031893325938,1,0.14,0.33,CRITICAL,"BUDGET CUT: Marketing Underperforming"
Home,18-25,466,1346.1617257776725,865,21,2,181.93781503381953,0.9,0.35,0.64,LOW,"QUALITY CHECK: High Returns/Complaints"
Home,18-25,341,888.8135818695365,408,66,3,44.49792656763003,0.9,0.38,0.46,HEALTHY,"BUDGET CUT: Marketing Underperforming"
Electronics,36-45,466,703.7498192840703,532,92,5,23.04453750861927,0.9,0.66,0.76,HEALTHY,"STABLE: Monitor KPIs"
Sports,26-35,331,1603.4209332834012,408,19,1,130.56736977651883,0.9,0.21,0.25,CRITICAL,"BUDGET CUT: Marketing Underperforming"
Home,60+,496,753.4774636227711,285,26,1,27.67857360044682,0.9,0.66,0.38,LOW,"BUDGET CUT: Marketing Underperforming"
Fashion,36-45,339,984.2100682977724,293,40,3,60.56993978807629,1,0.34,0.3,LOW,"BUDGET CUT: Marketing Underperforming"
Home,36-45,79,1371.270311663511,946,12,4,46.40552741120423,1,0.06,0.69,CRITICAL,"STABLE: Monitor KPIs"
Electronics,46-60,133,792.763488679755,780,56,5,145.31834667748666,1,0.17,0.98,HEALTHY,"STABLE: Monitor KPIs"
Fashion,18-25,92,1463.9710440995336,173,49,4,120.57403657070851,1,0.06,0.12,LOW,"BUDGET CUT: Marketing Underperforming"
Beauty,46-60,371,1396.8848600187757,607,17,3,47.06377204779543,1,0.27,0.43,CRITICAL,"BUDGET CUT: Marketing Underperforming"
Beauty,60+,476,766.9534176944123,498,86,3,50.95138819722109,1.1,0.62,0.65,HEALTHY,"STABLE: Monitor KPIs"
Home,26-35,413,1234.0606839860927,485,55,4,80.88209940484398,1,0.33,0.39,HEALTHY,"BUDGET CUT: Marketing Underperforming"
Beauty,26-35,199,691.7955293295972,897,93,2,89.36035077269091,1.1,0.29,1.3,HEALTHY,"QUALITY CHECK: High Returns/Complaints"
Fashion,26-35,379,839.5794533235079,342,94,3,158.15603378044062,0.9,0.45,0.41,HEALTHY,"BUDGET CUT: Marketing Underperforming"
Home,26-35,433,1077.8477423745403,157,44,5,104.47249863686879,1,0.4,0.15,LOW,"BUDGET CUT: Marketing Underperforming"
Fashion,26-35,374,527.3199381271644,765,73,2,23.910009592125448,0.9,0.71,1.45,HEALTHY,"QUALITY CHECK: High Returns/Complaints"
Beauty,46-60,444,1018.7901461534993,725,84,4,73.66695395155949,0.9,0.44,0.71,HEALTHY,"STABLE: Monitor KPIs"
Fashion,26-35,414,1296.6552365562943,823,75,4,27.922959770427873,1.1,0.32,0.63,HEALTHY,"STABLE: Monitor KPIs"
Electronics,26-35,486,998.5348138209029,545,30,4,44.37865055941777,1,0.49,0.55,LOW,"STABLE: Monitor KPIs"
Beauty,36-45,473,1543.771348624242,820,53,2,98.7765478884486,1,0.31,0.53,HEALTHY,"QUALITY CHECK: High Returns/Complaints"
Home,36-45,436,1014.1298187269977,541,59,3,129.18615583366346,0.9,0.43,0.53,HEALTHY,"STABLE: Monitor KPIs"
Home,18-25,324,1066.5222441443066,317,49,5,181.34566453285828,1.1,0.3,0.3,LOW,"BUDGET CUT: Marketing Underperforming"
Home,26-35,280,1188.5727696700444,664,15,2,196.48414969398596,1,0.24,0.56,CRITICAL,"QUALITY CHECK: High Returns/Complaints"
Home,60+,122,1209.769988002147,847,37,2,38.55765869643766,1,0.1,0.7,LOW,"QUALITY CHECK: High Returns/Complaints"
Home,60+,476,1040.1408533526803,737,51,2,161.0549469073573,0.9,0.46,0.71,HEALTHY,"QUALITY CHECK: High Returns/Complaints"
Sports,18-25,403,1191.1230578280765,629,80,1,102.30276756284727,0.9,0.34,0.53,HEALTHY,"QUALITY CHECK: High Returns/Complaints"
Electronics,18-25,381,907.8807262865952,676,33,2,48.96975570144266,0.9,0.42,0.74,LOW,"QUALITY CHECK: High Returns/Complaints"
Fashion,36-45,150,923.0408569509377,785,47,3,67.03189103916647,0.9,0.16,0.85,LOW,"STABLE: Monitor KPIs"
Electronics,60+,169,1370.2486981796048,229,64,5,163.09794867436375,1.1,0.12,0.17,HEALTHY,"BUDGET CUT: Marketing Underperforming"
Home,18-25,395,1076.0165288693704,176,11,1,64.04432189193406,0.9,0.37,0.16,CRITICAL,"BUDGET CUT: Marketing Underperforming"
Sports,26-35,492,1095.9346430997264,754,88,4,144.3073064443979,1,0.45,0.69,HEALTHY,"STABLE: Monitor KPIs"
Electronics,60+,251,635.3284595118956,778,66,1,32.14437417356751,1,0.4,1.22,HEALTHY,"QUALITY CHECK: High Returns/Complaints"
Beauty,46-60,387,1133.9189696349729,331,44,5,132.81973844652288,1.1,0.34,0.29,LOW,"BUDGET CUT: Marketing Underperforming"
Sports,36-45,158,997.6909711004645,285,25,2,136.8700757642889,1,0.16,0.29,LOW,"BUDGET CUT: Marketing Underperforming"
Electronics,18-25,87,1200.8835956049645,791,37,4,82.21393935533322,0.9,0.07,0.66,LOW,"STABLE: Monitor KPIs"
Beauty,18-25,421,1017.8809894691694,140,54,3,142.11690305783983,1,0.41,0.14,HEALTHY,"BUDGET CUT: Marketing Underperforming"
Electronics,18-25,414,1351.0042482835963,356,65,5,85.61878797840734,1.1,0.31,0.26,HEALTHY,"BUDGET CUT: Marketing Underperforming"
Sports,36-45,199,1039.2612456343281,900,58,4,58.228221676937906,1,0.19,0.87,HEALTHY,"STABLE: Monitor KPIs"
Beauty,60+,315,1175.9431307694767,884,63,1,109.54718606920997,0.9,0.27,0.75,HEALTHY,"QUALITY CHECK: High Returns/Complaints"
Beauty,36-45,53,417.9235886027002,113,96,2,124.64496273191082,1.1,0.13,0.27,HEALTHY,"BUDGET CUT: Marketing Underperforming"
Beauty,46-60,152,1120.2055846266107,250,96,1,89.43472053020479,1.1,0.14,0.22,HEALTHY,"BUDGET CUT: Marketing Underperforming"
Beauty,60+,369,1299.592619231203,315,63,3,91.14292048425057,1.1,0.28,0.24,HEALTHY,"BUDGET CUT: Marketing Underperforming"
Home,18-25,83,845.6012427504371,617,60,5,92.91562599782958,0.9,0.1,0.73,HEALTHY,"STABLE: Monitor KPIs"
Beauty,36-45,81,871.243814514899,206,11,3,87.53215390051588,1.1,0.09,0.24,CRITICAL,"BUDGET CUT: Marketing Underperforming"
Beauty,36-45,86,1267.7817358578777,270,70,3,175.99564199110205,0.9,0.07,0.21,HEALTHY,"BUDGET CUT: Marketing Underperforming"
Fashion,36-45,297,646.9397179292098,368,25,3,159.3963576499109,0.9,0.46,0.57,LOW,"STABLE: Monitor KPIs"
Sports,36-45,290,1521.9998666893644,848,10,1,126.90420487167664,0.9,0.19,0.56,CRITICAL,"QUALITY CHECK: High Returns/Complaints"
Home,46-60,285,589.9167382970652,114,96,5,57.43227411844598,0.9,0.48,0.19,HEALTHY,"BUDGET CUT: Marketing Underperforming"
Sports,60+,485,1011.7697935034901,352,76,4,21.504028158923234,1,0.48,0.35,HEALTHY,"BUDGET CUT: Marketing Underperforming"
Fashion,46-60,120,489.3999621214335,149,83,3,40.23758855448195,1,0.25,0.3,HEALTHY,"BUDGET CUT: Marketing Underperforming"
Fashion,36-45,209,1503.2444811002306,401,53,4,124.71372640717223,1,0.14,0.27,HEALTHY,"BUDGET CUT: Marketing Underperforming"
Sports,36-45,321,509.33321259491566,865,75,1,199.06652560725638,0.9,0.63,1.7,HEALTHY,"QUALITY CHECK: High Returns/Complaints"
Home,60+,227,973.1653856671862,733,81,4,64.62923135190162,0.9,0.23,0.75,HEALTHY,"STABLE: Monitor KPIs"
Fashion,36-45,334,1225.450133180993,258,55,1,123.45100558138844,1.1,0.27,0.21,HEALTHY,"BUDGET CUT: Marketing Underperforming"
Home,60+,319,775.2752391033102,175,65,1,97.70352969381096,1,0.41,0.23,HEALTHY,"BUDGET CUT: Marketing Underperforming"
Beauty,26-35,60,1265.8164537942675,936,68,2,78.89789517758963,1.1,0.05,0.74,HEALTHY,"QUALITY CHECK: High Returns/Complaints"
Beauty,18-25,217,1448.8898856486207,839,43,4,184.17491674573353,1,0.15,0.58,LOW,"STABLE: Monitor KPIs"
Home,26-35,337,919.2595617500962,651,54,2,72.58609598318232,1,0.37,0.71,HEALTHY,"QUALITY CHECK: High Returns/Complaints"
Electronics,18-25,274,630.4162687211673,255,64,2,71.54056835876631,1,0.43,0.4,HEALTHY,"BUDGET CUT: Marketing Underperforming"
Sports,46-60,231,777.4077946240246,590,30,3,121.85545751788091,1,0.3,0.76,LOW,"STABLE: Monitor KPIs"
Beauty,60+,185,1307.2194620347434,102,74,5,101.39866000864342,1.1,0.14,0.08,HEALTHY,"BUDGET CUT: Marketing Underperforming"
Beauty,18-25,95,483.23474222430536,230,28,1,52.612882461234065,1,0.2,0.48,LOW,"BUDGET CUT: Marketing Underperforming"
Electronics,18-25,138,580.602784535695,138,73,4,126.88029432994945,0.9,0.24,0.24,HEALTHY,"BUDGET CUT: Marketing Underperforming"
Fashion,26-35,481,1198.2331613119416,511,61,4,45.75723716548125,1.1,0.4,0.43,HEALTHY,"BUDGET CUT: Marketing Underperforming"
Electronics,60+,354,500.6181660237943,418,71,1,134.4702501845358,1.1,0.71,0.83,HEALTHY,"QUALITY CHECK: High Returns/Complaints"
Sports,26-35,278,579.054608893752,883,87,2,83.56720018565545,1.1,0.48,1.52,HEALTHY,"QUALITY CHECK: High Returns/Complaints"
Electronics,46-60,453,782.5301241699515,991,65,3,185.42944519563162,0.9,0.58,1.27,HEALTHY,"STABLE: Monitor KPIs"
Fashion,60+,457,559.4110094414671,830,77,3,123.27041511595286,0.9,0.82,1.48,HEALTHY,"STABLE: Monitor KPIs"
Electronics,18-25,479,1294.768969560801,822,64,1,118.8166061836764,1,0.37,0.63,HEALTHY,"QUALITY CHECK: High Returns/Complaints"
Fashion,60+,385,788.8921993002639,215,69,2,163.92970450482676,1.1,0.49,0.27,HEALTHY,"BUDGET CUT: Marketing Underperforming"
Sports,46-60,330,1264.9404776807048,449,97,5,181.99348387103925,1,0.26,0.35,HEALTHY,"BUDGET CUT: Marketing Underperforming"
Fashion,46-60,125,967.7926550348174,245,37,2,44.238865744714595,1,0.13,0.25,LOW,"BUDGET CUT: Marketing Underperforming"
Sports,60+,183,566.6477920180163,482,94,2,104.76150956196855,0.9,0.32,0.85,HEALTHY,"QUALITY CHECK: High Returns/Complaints"
Sports,36-45,60,1484.851582102691,858,19,2,94.26902657211721,1.1,0.04,0.58,CRITICAL,"QUALITY CHECK: High Returns/Complaints"
Home,60+,144,1249.6510019186849,755,68,2,126.49636593197455,1.1,0.12,0.6,HEALTHY,"QUALITY CHECK: High Returns/Complaints"
Electronics,26-35,433,1188.100089228865,705,72,4,47.36814874502693,0.9,0.36,0.59,HEALTHY,"STABLE: Monitor KPIs"
Beauty,60+,430,1137.3679977673582,796,64,4,76.04302494679881,0.9,0.38,0.7,HEALTHY,"STABLE: Monitor KPIs"
Sports,26-35,344,438.1710941830304,292,92,1,60.72428968501304,1.1,0.79,0.67,HEALTHY,"QUALITY CHECK: High Returns/Complaints"
Home,36-45,458,1065.248618964022,832,88,4,86.59817442466863,0.9,0.43,0.78,HEALTHY,"STABLE: Monitor KPIs"
Electronics,46-60,172,617.2657042199498,765,61,1,20.727498032983462,1,0.28,1.24,HEALTHY,"QUALITY CHECK: High Returns/Complaints"
Fashion,26-35,377,988.0274738235317,142,35,1,181.76345594800628,0.9,0.38,0.14,LOW,"BUDGET CUT: Marketing Underperforming"
Fashion,36-45,216,1250.522890135928,272,66,2,71.72224456801936,1,0.17,0.22,HEALTHY,"BUDGET CUT: Marketing Underperforming"
Home,36-45,122,731.9235655001329,460,44,3,185.73280378417047,0.9,0.17,0.63,LOW,"STABLE: Monitor KPIs"
Fashion,60+,394,1198.7769827989107,588,66,1,50.6041107973103,1.1,0.33,0.49,HEALTHY,"BUDGET CUT: Marketing Underperforming"
Home,60+,468,1047.6384481657494,451,78,4,168.50133811939793,1.1,0.45,0.43,HEALTHY,"BUDGET CUT: Marketing Underperforming"
Home,26-35,238,599.6355507581156,524,17,5,94.396096502853,1.1,0.4,0.87,CRITICAL,"STABLE: Monitor KPIs"
Sports,46-60,343,675.3380443696794,574,61,1,186.38580828049916,1,0.51,0.85,HEALTHY,"QUALITY CHECK: High Returns/Complaints"
Fashion,26-35,174,876.6461589368477,970,72,2,167.53011292467704,0.9,0.2,1.11,HEALTHY,"QUALITY CHECK: High Returns/Complaints"
Electronics,60+,495,1076.255658899226,641,53,3,66.15590622108957,0.9,0.46,0.6,HEALTHY,"STABLE: Monitor KPIs"
Home,18-25,228,1040.1779462327643,611,96,2,101.19967693092195,1.1,0.22,0.59,HEALTHY,"QUALITY CHECK: High Returns/Complaints"
Beauty,18-25,237,1192.3736642949216,219,16,1,82.94180010525022,1,0.2,0.18,CRITICAL,"BUDGET CUT: Marketing Underperforming"
Sports,46-60,75,780.8077291704769,371,79,1,28.592718232754983,1.1,0.1,0.48,HEALTHY,"BUDGET CUT: Marketing Underperforming"
Electronics,26-35,364,1058.0403827577027,904,59,4,47.98790863269836,0.9,0.34,0.85,HEALTHY,"STABLE: Monitor KPIs"
Electronics,60+,173,1602.2581010214324,693,57,5,173.18522185096433,1,0.11,0.43,HEALTHY,"BUDGET CUT: Marketing Underperforming"
Electronics,36-45,435,909.2264688722486,810,98,5,186.64969617613846,1,0.48,0.89,HEALTHY,"STABLE: Monitor KPIs"
Beauty,46-60,222,409.41208851125975,452,27,3,47.3606720745035,0.9,0.54,1.1,LOW,"STABLE: Monitor KPIs"
Fashion,36-45,135,1449.754723960012,249,49,4,78.24786164148152,1.1,0.09,0.17,LOW,"BUDGET CUT: Marketing Underperforming"
Fashion,36-45,283,1191.2179019709772,969,53,5,71.30860508531708,0.9,0.24,0.81,HEALTHY,"STABLE: Monitor KPIs"
Electronics,36-45,301,1559.4856342783482,427,96,2,168.08144942911622,1.1,0.19,0.27,HEALTHY,"BUDGET CUT: Marketing Underperforming"
Electronics,46-60,121,700.7174447822604,729,73,5,32.107307344385404,1.1,0.17,1.04,HEALTHY,"STABLE: Monitor KPIs"
Fashion,26-35,236,1227.056298559111,304,15,5,89.27330277588844,0.9,0.19,0.25,CRITICAL,"BUDGET CUT: Marketing Underperforming"
Sports,26-35,232,1411.1055865343433,782,32,2,176.55107565972418,0.9,0.16,0.55,LOW,"QUALITY CHECK: High Returns/Complaints"
Home,18-25,268,855.2991050678005,788,30,2,164.70098274943908,0.9,0.31,0.92,LOW,"QUALITY CHECK: High Returns/Complaints"
Beauty,26-35,100,1328.7415276573927,139,58,2,60.84278173920181,0.9,0.08,0.1,HEALTHY,"BUDGET CUT: Marketing Underperforming"
Electronics,60+,258,1594.599247728945,751,58,5,47.77448070832029,1,0.16,0.47,HEALTHY,"BUDGET CUT: Marketing Underperforming"
Home,36-45,115,795.6411596794693,406,71,4,111.28127053996887,1.1,0.14,0.51,HEALTHY,"STABLE: Monitor KPIs"
Fashion,26-35,121,1465.189539399966,985,50,2,187.89756219512643,1,0.08,0.67,HEALTHY,"QUALITY CHECK: High Returns/Complaints"
Electronics,46-60,118,1003.0320279862417,266,87,1,176.1587321980411,1,0.12,0.27,HEALTHY,"BUDGET CUT: Marketing Underperforming"
Beauty,46-60,277,936.1055821841571,888,36,1,64.9506170296378,1,0.3,0.95,LOW,"QUALITY CHECK: High Returns/Complaints"
Fashion,46-60,188,1109.6431218024188,964,83,5,145.19280587764587,0.9,0.17,0.87,HEALTHY,"STABLE: Monitor KPIs"
Sports,18-25,361,1073.4895247268835,991,46,3,151.31108606333657,0.9,0.34,0.92,LOW,"STABLE: Monitor KPIs"
Electronics,26-35,349,876.9324269735056,945,19,4,193.79086239842863,1,0.4,1.08,CRITICAL,"STABLE: Monitor KPIs"
Sports,36-45,79,1563.9295036426088,377,30,5,162.63265909107395,1.1,0.05,0.24,LOW,"BUDGET CUT: Marketing Underperforming"
Fashion,26-35,498,1150.2705468474571,808,20,2,135.46235196312455,0.9,0.43,0.7,LOW,"QUALITY CHECK: High Returns/Complaints"
Home,26-35,480,402.6667449125463,269,81,4,104.0330653409775,0.9,1.19,0.67,HEALTHY,"STABLE: Monitor KPIs"
Beauty,18-25,405,1364.1552623064754,338,28,3,85.37784598969537,1,0.3,0.25,LOW,"BUDGET CUT: Marketing Underperforming"
Fashion,36-45,101,1502.1388504716604,837,28,3,42.872546032325495,1.1,0.07,0.56,LOW,"STABLE: Monitor KPIs"
Sports,26-35,274,686.2429282040391,117,74,5,74.17484433346903,1.1,0.4,0.17,HEALTHY,"BUDGET CUT: Marketing Underperforming"
Sports,60+,301,1235.5552865156028,966,81,4,87.5393128614157,1.1,0.24,0.78,HEALTHY,"STABLE: Monitor KPIs"
Beauty,36-45,415,1348.7596881418217,704,90,1,111.80706599076328,1,0.31,0.52,HEALTHY,"QUALITY CHECK: High Returns/Complaints"
Beauty,26-35,327,960.1577995282894,340,99,1,32.116133244509705,1.1,0.34,0.35,HEALTHY,"BUDGET CUT: Marketing Underperforming"
Fashion,60+,453,1544.5910860630893,205,75,4,104.91360698973895,1,0.29,0.13,HEALTHY,"BUDGET CUT: Marketing Underperforming"
Home,26-35,65,845.6357161125437,100,59,2,144.7108141466254,0.9,0.08,0.12,HEALTHY,"BUDGET CUT: Marketing Underperforming"
Sports,60+,407,1148.4975538062156,471,52,4,132.950857268977,1.1,0.35,0.41,HEALTHY,"BUDGET CUT: Marketing Underperforming"
Home,60+,219,1087.4194210955347,107,41,3,29.944532170009637,1.1,0.2,0.1,LOW,"BUDGET CUT: Marketing Underperforming"
Home,26-35,394,1029.4345556246021,658,42,5,119.90389856617304,1.1,0.38,0.64,LOW,"STABLE: Monitor KPIs"
Electronics,46-60,248,822.4962226732924,644,98,5,84.80696133451553,0.9,0.3,0.78,HEALTHY,"STABLE: Monitor KPIs"
Home,46-60,60,796.3598390472482,993,62,2,109.56103324626679,1.1,0.08,1.25,HEALTHY,"QUALITY CHECK: High Returns/Complaints"
Home,18-25,114,1303.4488158500649,213,15,1,150.03759976244564,1.1,0.09,0.16,CRITICAL,"BUDGET CUT: Marketing Underperforming"
